"Ecosystem Name","Country","Ecosystem Functional Group","Threat","Threat Bounds","Trigger","Area","Assessment System","Source","Reference"
"1.A.3.Ej.615 - Eastern Subandean Ridge Montane Humid Forest","Ecuador","T1.3","VU","VU -- EN","A1, A3, D1, D3",11944.3977,"IUCN RLE 2.2","https://doi.org/10.1111/conl.12623","Ferrer-Paris et al. 2019"
"1.A.3.Ej.615 - Eastern Subandean Ridge Montane Humid Forest","Colombia","T1.3","VU","VU -- EN","A1, A3, D1, D3",11944.3977,"IUCN RLE 2.2","https://doi.org/10.1111/conl.12623","Ferrer-Paris et al. 2019"
"1.A.3.Ek.616 - Brazilian Atlantic Montane Humid Forest","Argentina","T1.3","EN","VU -- EN","A1, A3",127418.5809,"IUCN RLE 2.2","https://doi.org/10.1111/conl.12623","Ferrer-Paris et al. 2019"
"1.A.3.Ek.616 - Brazilian Atlantic Montane Humid Forest","Paraguay","T1.3","EN","VU -- EN","A1, A3",127418.5809,"IUCN RLE 2.2","https://doi.org/10.1111/conl.12623","Ferrer-Paris et al. 2019"
"1.A.3.Ek.616 - Brazilian Atlantic Montane Humid Forest","Brazil","T1.3","EN","VU -- EN","A1, A3",127418.5809,"IUCN RLE 2.2","https://doi.org/10.1111/conl.12623","Ferrer-Paris et al. 2019"
"1.A.4.Ed.617 - Caribbean Swamp","Virgin Islands","TF1.1","EN","EN -- CR","A1, A3, D2b",3734.1162,"IUCN RLE 2.2","https://doi.org/10.1111/conl.12623","Ferrer-Paris et al. 2019"
"1.A.4.Ed.617 - Caribbean Swamp","United States","TF1.1","EN","EN -- CR","A1, A3, D2b",3734.1162,"IUCN RLE 2.2","https://doi.org/10.1111/conl.12623","Ferrer-Paris et al. 2019"
"1.A.4.Ed.617 - Caribbean Swamp","Turks and Caicas Islands","TF1.1","EN","EN -- CR","A1, A3, D2b",3734.1162,"IUCN RLE 2.2","https://doi.org/10.1111/conl.12623","Ferrer-Paris et al. 2019"
"1.A.4.Ed.617 - Caribbean Swamp","Trinidad and Tobago","TF1.1","EN","EN -- CR","A1, A3, D2b",3734.1162,"IUCN RLE 2.2","https://doi.org/10.1111/conl.12623","Ferrer-Paris et al. 2019"
"1.A.4.Ed.617 - Caribbean Swamp","Saint Martin","TF1.1","EN","EN -- CR","A1, A3, D2b",3734.1162,"IUCN RLE 2.2","https://doi.org/10.1111/conl.12623","Ferrer-Paris et al. 2019"
"1.A.4.Ed.617 - Caribbean Swamp","Saint Lucia","TF1.1","EN","EN -- CR","A1, A3, D2b",3734.1162,"IUCN RLE 2.2","https://doi.org/10.1111/conl.12623","Ferrer-Paris et al. 2019"
"1.A.4.Ed.617 - Caribbean Swamp","Puerto Rico","TF1.1","EN","EN -- CR","A1, A3, D2b",3734.1162,"IUCN RLE 2.2","https://doi.org/10.1111/conl.12623","Ferrer-Paris et al. 2019"
"1.A.4.Ed.617 - Caribbean Swamp","Martinique","TF1.1","EN","EN -- CR","A1, A3, D2b",3734.1162,"IUCN RLE 2.2","https://doi.org/10.1111/conl.12623","Ferrer-Paris et al. 2019"
"1.A.4.Ed.617 - Caribbean Swamp","Jamaica","TF1.1","EN","EN -- CR","A1, A3, D2b",3734.1162,"IUCN RLE 2.2","https://doi.org/10.1111/conl.12623","Ferrer-Paris et al. 2019"
"1.A.4.Ed.617 - Caribbean Swamp","Haiti","TF1.1","EN","EN -- CR","A1, A3, D2b",3734.1162,"IUCN RLE 2.2","https://doi.org/10.1111/conl.12623","Ferrer-Paris et al. 2019"
